disease_class,temperature_celsius,soil_moisture_percent,soil_ph,soil_nitrogen_ppm
Pepper__bell___Bacterial_spot,29.96,93.35,6.69,133.15
Pepper__bell___Bacterial_spot,29.44,92.59,6.47,111.21
Pepper__bell___Bacterial_spot,32.05,94.64,6.18,110.51
Pepper__bell___Bacterial_spot,31.2,90.42,6.81,118.75
Pepper__bell___Bacterial_spot,27.33,95.71,5.97,118.55
Pepper__bell___Bacterial_spot,28.87,94.41,6.24,102.94
Pepper__bell___Bacterial_spot,26.0,89.9,6.21,118.77
Pepper__bell___Bacterial_spot,29.09,89.72,6.71,112.85
Pepper__bell___Bacterial_spot,30.52,87.62,6.42,108.36
Pepper__bell___Bacterial_spot,27.1,93.66,6.41,126.17
Pepper__bell___Bacterial_spot,29.43,91.79,5.89,123.31
Pepper__bell___Bacterial_spot,28.89,89.02,6.41,109.55
Pepper__bell___Bacterial_spot,30.74,95.57,6.42,125.54
Pepper__bell___Bacterial_spot,30.27,89.55,6.41,106.36
Pepper__bell___Bacterial_spot,32.02,94.12,6.3,108.45
Pepper__bell___Bacterial_spot,28.73,91.78,6.18,134.87
Pepper__bell___Bacterial_spot,31.2,96.52,6.15,103.45
Pepper__bell___Bacterial_spot,29.23,97.26,6.51,114.43
Pepper__bell___Bacterial_spot,30.45,92.03,6.36,129.49
Pepper__bell___Bacterial_spot,27.77,94.14,6.82,110.81
Pepper__bell___Bacterial_spot,31.52,89.32,6.48,132.37
Pepper__bell___Bacterial_spot,29.76,94.53,6.63,119.56
Pepper__bell___Bacterial_spot,27.85,92.58,6.46,99.66
Pepper__bell___Bacterial_spot,27.87,92.9,6.29,107.85
Pepper__bell___Bacterial_spot,27.88,92.47,6.38,112.01
Pepper__bell___Bacterial_spot,29.74,92.51,6.22,111.79
Pepper__bell___Bacterial_spot,31.71,88.28,6.56,110.43
Pepper__bell___Bacterial_spot,33.26,93.83,6.49,103.06
Pepper__bell___Bacterial_spot,31.96,84.15,6.56,123.27
Pepper__bell___Bacterial_spot,30.11,89.39,6.16,109.79
Pepper__bell___Bacterial_spot,30.54,90.64,6.51,113.34
Pepper__bell___Bacterial_spot,29.39,94.63,6.05,110.69
Pepper__bell___Bacterial_spot,28.68,91.38,6.16,104.03
Pepper__bell___Bacterial_spot,34.07,93.08,6.15,126.18
Pepper__bell___Bacterial_spot,28.93,87.49,6.56,107.93
Pepper__bell___Bacterial_spot,30.42,91.43,5.98,110.74
Pepper__bell___Bacterial_spot,28.42,91.42,6.54,111.2
Pepper__bell___Bacterial_spot,30.39,93.06,6.82,120.26
Pepper__bell___Bacterial_spot,30.27,91.69,6.18,133.15
Pepper__bell___Bacterial_spot,31.35,89.92,6.27,125.49
Pepper__bell___Bacterial_spot,31.28,91.24,6.16,105.92
Pepper__bell___Bacterial_spot,34.31,91.63,5.99,124.42
Pepper__bell___Bacterial_spot,30.71,94.84,6.75,105.75
Pepper__bell___Bacterial_spot,25.7,94.03,6.1,117.2
Pepper__bell___Bacterial_spot,29.61,90.91,6.08,113.02
Pepper__bell___Bacterial_spot,29.8,89.56,6.28,96.33
Pepper__bell___Bacterial_spot,31.31,98.16,6.44,126.67
Pepper__bell___Bacterial_spot,31.17,91.03,6.35,113.08
Pepper__bell___Bacterial_spot,27.81,94.56,6.52,112.28
Pepper__bell___Bacterial_spot,27.78,86.67,6.55,109.39
Pepper__bell___Bacterial_spot,30.27,96.39,6.14,123.55
Pepper__bell___Bacterial_spot,27.03,96.63,6.55,133.41
Pepper__bell___Bacterial_spot,32.19,92.58,6.31,112.17
Pepper__bell___Bacterial_spot,29.77,94.68,6.19,115.28
Pepper__bell___healthy,25.39,80.75,6.77,149.3
Pepper__bell___healthy,28.33,87.35,6.73,168.2
Pepper__bell___healthy,20.44,65.6,6.52,167.85
Pepper__bell___healthy,25.46,74.54,6.42,159.35
Pepper__bell___healthy,28.98,72.93,6.49,160.36
Pepper__bell___healthy,25.27,79.68,6.55,153.45
Pepper__bell___healthy,26.51,70.76,6.73,150.72
Pepper__bell___healthy,24.42,73.13,6.26,151.75
Pepper__bell___healthy,26.48,77.02,6.68,152.16
Pepper__bell___healthy,22.2,71.72,6.49,161.12
Pepper__bell___healthy,29.44,73.7,6.93,148.47
Pepper__bell___healthy,26.39,76.5,6.47,155.54
Pepper__bell___healthy,24.42,75.55,7.04,157.38
Pepper__bell___healthy,20.37,77.69,6.79,151.11
Pepper__bell___healthy,24.99,68.04,6.44,168.89
Pepper__bell___healthy,25.51,70.66,6.88,143.17
Pepper__bell___healthy,28.54,72.45,6.71,151.85
Pepper__bell___healthy,25.17,70.28,6.91,155.03
Pepper__bell___healthy,25.12,82.1,7.16,169.01
Pepper__bell___healthy,24.35,75.59,7.07,158.28
Pepper__bell___healthy,24.72,63.17,7.21,167.79
Pepper__bell___healthy,27.11,68.16,6.59,150.13
Pepper__bell___healthy,26.48,71.11,6.87,157.39
Pepper__bell___healthy,24.5,75.28,6.52,153.65
Pepper__bell___healthy,26.14,72.27,7.0,171.97
Pepper__bell___healthy,27.0,81.82,6.24,160.07
Pepper__bell___healthy,26.4,78.83,6.75,160.96
Pepper__bell___healthy,22.96,77.96,6.62,171.76
Pepper__bell___healthy,27.88,64.38,6.64,144.83
Pepper__bell___healthy,27.24,69.07,6.64,163.4
Pepper__bell___healthy,25.68,70.51,7.13,156.1
Pepper__bell___healthy,26.56,66.45,6.62,156.99
Pepper__bell___healthy,24.06,76.05,6.19,157.42
Pepper__bell___healthy,26.6,78.29,6.17,155.16
Pepper__bell___healthy,26.04,76.9,6.92,142.29
Pepper__bell___healthy,28.48,80.11,6.96,169.72
Pepper__bell___healthy,27.09,67.2,6.74,146.8
Pepper__bell___healthy,24.74,68.2,6.42,167.32
Pepper__bell___healthy,23.06,67.17,6.09,154.07
Pepper__bell___healthy,24.98,74.31,6.77,163.57
Pepper__bell___healthy,25.41,74.06,6.33,155.84
Pepper__bell___healthy,24.24,76.72,6.51,156.17
Pepper__bell___healthy,25.23,64.75,6.7,152.8
Pepper__bell___healthy,28.11,68.4,6.91,141.4
Pepper__bell___healthy,22.4,63.65,6.23,143.71
Pepper__bell___healthy,28.06,71.54,6.52,163.01
Pepper__bell___healthy,23.91,81.06,6.4,159.86
Pepper__bell___healthy,22.46,63.97,6.84,185.17
Pepper__bell___healthy,27.47,74.41,6.8,156.15
Pepper__bell___healthy,25.98,76.81,6.43,169.1
Pepper__bell___healthy,25.82,77.3,6.23,176.93
Pepper__bell___healthy,24.39,75.42,7.39,150.53
Pepper__bell___healthy,23.13,70.89,6.81,135.93
Pepper__bell___healthy,24.8,67.06,7.1,137.61
Pepper__bell___healthy,25.44,77.99,6.87,165.13
Pepper__bell___healthy,24.87,63.35,7.24,142.11
Pepper__bell___healthy,25.51,72.2,6.79,166.17
Pepper__bell___healthy,27.96,70.55,6.23,160.57
Pepper__bell___healthy,26.74,68.17,6.53,168.91
Pepper__bell___healthy,24.67,61.18,6.54,152.64
Pepper__bell___healthy,26.59,72.76,6.7,168.38
Pepper__bell___healthy,27.58,69.78,7.07,141.87
Pepper__bell___healthy,28.52,76.81,6.81,140.22
Pepper__bell___healthy,24.63,70.72,6.61,158.7
Pepper__bell___healthy,25.54,65.79,6.44,157.17
Pepper__bell___healthy,26.69,78.8,7.19,166.31
Pepper__bell___healthy,24.86,64.49,6.71,151.84
Pepper__bell___healthy,28.27,71.91,6.83,155.12
Pepper__bell___healthy,24.32,77.39,6.26,167.56
Pepper__bell___healthy,22.98,80.51,6.58,145.97
Pepper__bell___healthy,26.14,67.91,6.86,147.66
Pepper__bell___healthy,25.52,75.54,6.39,170.66
Pepper__bell___healthy,25.97,72.38,6.41,151.2
Pepper__bell___healthy,27.15,69.82,6.22,158.46
Pepper__bell___healthy,26.21,77.72,6.49,135.8
Pepper__bell___healthy,28.58,70.56,5.81,162.16
Pepper__bell___healthy,26.59,75.18,7.18,142.68
Pepper__bell___healthy,27.87,63.86,6.75,176.96
Pepper__bell___healthy,25.0,69.95,6.33,155.9
Pepper__bell___healthy,27.82,73.51,6.51,157.39
Pepper__bell___healthy,26.77,68.89,6.98,160.89
Pepper__bell___healthy,29.23,74.67,6.7,149.24
Pepper__bell___healthy,25.99,72.45,6.5,159.36
Pepper__bell___healthy,25.19,69.43,6.32,154.56
Pepper__bell___healthy,24.1,73.18,6.52,146.21
Pepper__bell___healthy,29.13,82.32,6.69,156.44
Pepper__bell___healthy,26.21,77.04,6.71,147.77
Pepper__bell___healthy,23.35,77.95,6.6,166.11
Pepper__bell___healthy,27.84,68.69,6.86,151.43
Pepper__bell___healthy,29.68,71.49,6.31,154.5
Pepper__bell___healthy,29.38,76.36,6.49,157.46
Pepper__bell___healthy,22.0,69.71,6.81,166.61
Pepper__bell___healthy,25.3,74.83,6.63,151.41
Pepper__bell___healthy,23.6,62.84,6.4,160.07
Pepper__bell___healthy,25.18,76.08,6.42,147.34
Pepper__bell___healthy,25.4,76.83,6.6,161.56
Pepper__bell___healthy,27.32,78.21,5.9,164.85
Pepper__bell___healthy,26.59,70.0,6.73,152.98
Pepper__bell___healthy,27.7,66.43,6.28,153.94
Pepper__bell___healthy,23.45,78.88,6.46,155.11
Pepper__bell___healthy,27.69,70.29,6.59,168.41
Pepper__bell___healthy,24.52,78.83,6.26,149.03
Pepper__bell___healthy,24.92,69.53,6.81,161.52
Pepper__bell___healthy,26.5,71.82,6.5,147.87
Pepper__bell___healthy,26.21,69.19,6.67,157.83
Pepper__bell___healthy,28.25,77.76,6.73,168.55
Pepper__bell___healthy,28.6,63.96,6.67,150.95
Pepper__bell___healthy,26.24,76.87,5.77,158.64
Pepper__bell___healthy,25.67,73.22,6.38,140.17
Pepper__bell___healthy,27.31,90.08,6.37,151.58
Pepper__bell___healthy,24.96,75.6,6.44,152.06
Pepper__bell___healthy,26.44,72.52,6.71,145.12
Pepper__bell___healthy,24.25,76.29,6.6,145.42
Pepper__bell___healthy,22.27,75.35,6.25,167.91
Pepper__bell___healthy,27.36,76.8,6.06,162.45
Pepper__bell___healthy,26.94,79.3,6.31,138.24
Pepper__bell___healthy,25.57,69.3,7.19,149.83
Pepper__bell___healthy,25.41,76.29,7.1,150.12
Pepper__bell___healthy,23.15,74.12,6.41,148.53
Pepper__bell___healthy,27.5,68.09,6.7,147.79
Pepper__bell___healthy,28.27,68.57,6.65,150.38
Pepper__bell___healthy,24.17,62.32,6.56,165.46
Pepper__bell___healthy,23.52,70.45,6.71,163.58
Pepper__bell___healthy,27.44,75.92,6.64,149.2
Pepper__bell___healthy,30.29,79.19,7.18,167.37
Pepper__bell___healthy,22.51,75.23,6.76,157.71
Pepper__bell___healthy,30.35,73.68,6.88,148.46
Pepper__bell___healthy,26.8,71.38,6.82,155.99
Pepper__bell___healthy,27.27,69.51,6.67,141.76
Pepper__bell___healthy,24.65,69.77,6.13,140.88
Pepper__bell___healthy,24.92,75.63,6.33,147.74
Pepper__bell___healthy,25.73,66.79,6.46,143.94
Pepper__bell___healthy,24.14,76.22,6.34,147.26
Pepper__bell___healthy,20.16,69.37,6.98,174.03
Pepper__bell___healthy,26.08,71.11,6.63,158.77
Pepper__bell___healthy,25.46,71.74,6.04,156.99
Pepper__bell___healthy,26.55,67.74,7.32,131.15
Pepper__bell___healthy,25.51,64.82,6.61,145.23
Pepper__bell___healthy,26.51,75.68,6.85,151.69
Pepper__bell___healthy,25.89,68.62,6.55,161.21
Pepper__bell___healthy,24.84,74.57,6.43,148.57
Pepper__bell___healthy,29.49,69.93,6.58,170.48
Pepper__bell___healthy,25.39,75.69,6.91,145.1
Pepper__bell___healthy,24.86,73.22,6.41,146.76
Pepper__bell___healthy,27.87,75.82,6.75,146.25
Pepper__bell___healthy,26.63,72.69,6.93,158.09
Pepper__bell___healthy,25.36,75.84,6.64,146.21
Pepper__bell___healthy,26.7,55.44,6.56,144.82
Pepper__bell___healthy,27.37,76.1,7.14,142.12
Pepper__bell___healthy,23.62,77.36,6.36,150.06
Pepper__bell___healthy,23.91,69.89,6.28,154.45
Pepper__bell___healthy,29.9,68.96,6.71,167.87
Pepper__bell___healthy,24.47,64.34,6.52,162.56
Pepper__bell___healthy,26.79,69.19,6.78,151.67
Pepper__bell___healthy,23.69,75.72,6.63,163.31
Pepper__bell___healthy,21.1,74.25,6.94,133.62
Pepper__bell___healthy,26.18,66.77,6.92,157.26
Pepper__bell___healthy,29.15,77.85,6.38,157.97
Pepper__bell___healthy,22.81,67.78,6.15,140.67
Pepper__bell___healthy,24.36,82.24,6.37,150.33
Pepper__bell___healthy,23.62,73.57,6.44,175.99
Pepper__bell___healthy,27.33,71.84,6.67,162.17
Pepper__bell___healthy,27.63,81.78,6.66,168.99
Pepper__bell___healthy,22.68,68.58,6.82,133.52
Pepper__bell___healthy,25.51,85.34,6.56,159.66
Pepper__bell___healthy,29.27,67.52,6.82,154.28
Pepper__bell___healthy,25.98,70.83,7.19,191.7
Pepper__bell___healthy,25.88,77.8,6.81,140.46
Pepper__bell___healthy,25.68,77.61,6.42,156.2
Pepper__bell___healthy,28.18,73.14,6.46,150.44
Pepper__bell___healthy,28.51,77.29,6.74,161.11
Pepper__bell___healthy,26.57,71.64,6.34,150.21
Pepper__bell___healthy,29.32,74.42,6.17,137.08
Pepper__bell___healthy,24.39,72.86,6.1,139.47
Pepper__bell___healthy,25.64,66.54,6.52,155.33
Pepper__bell___healthy,26.92,78.98,6.73,153.67
Pepper__bell___healthy,24.07,76.27,6.56,164.17
Pepper__bell___healthy,25.28,62.28,6.83,150.75
Pepper__bell___healthy,24.77,72.92,7.08,154.69
Pepper__bell___healthy,24.39,63.26,6.72,165.09
Pepper__bell___healthy,26.98,76.69,6.38,162.54
Pepper__bell___healthy,25.69,64.05,6.76,132.23
Pepper__bell___healthy,26.5,71.65,6.16,136.9
Pepper__bell___healthy,22.74,70.11,6.67,148.9
Pepper__bell___healthy,25.03,80.27,6.35,157.23
Pepper__bell___healthy,27.11,76.77,6.64,155.73
Pepper__bell___healthy,28.68,70.94,6.87,161.64
Pepper__bell___healthy,28.64,56.83,6.84,156.28
Pepper__bell___healthy,30.44,67.74,6.78,140.7
Pepper__bell___healthy,27.59,76.58,6.21,157.27
Pepper__bell___healthy,25.72,62.33,6.89,167.04
Pepper__bell___healthy,24.02,70.72,6.61,166.91
Pepper__bell___healthy,26.83,70.63,6.44,167.07
Pepper__bell___healthy,22.78,71.13,6.22,162.79
Pepper__bell___healthy,28.65,63.65,6.69,140.38
Pepper__bell___healthy,25.57,68.6,6.33,166.9
Pepper__bell___healthy,24.16,70.84,6.54,139.1
Pepper__bell___healthy,24.24,72.8,6.4,164.11
Pepper__bell___healthy,26.94,74.95,6.75,145.69
Pepper__bell___healthy,27.6,65.6,6.64,153.63
Potato___Early_blight,23.53,81.73,5.35,76.88
Potato___Early_blight,26.97,88.33,5.64,79.25
Potato___Early_blight,24.07,86.16,5.6,70.0
Potato___Early_blight,29.25,88.96,5.0,70.39
Potato___Early_blight,26.7,82.65,5.66,78.05
Potato___Early_blight,25.16,84.1,5.93,70.92
Potato___Early_blight,25.37,90.4,5.49,91.56
Potato___Early_blight,25.88,93.51,5.18,79.68
Potato___Early_blight,27.62,86.81,5.18,90.77
Potato___Early_blight,27.04,88.76,5.92,71.22
Potato___Early_blight,25.1,81.67,5.95,85.04
Potato___Early_blight,24.68,90.09,5.39,68.01
Potato___Early_blight,23.88,84.57,5.2,87.55
Potato___Early_blight,23.96,85.29,5.53,84.42
Potato___Early_blight,27.87,79.5,5.68,84.92
Potato___Early_blight,23.47,86.76,5.53,83.95
Potato___Early_blight,25.85,83.92,5.8,69.2
Potato___Early_blight,22.84,86.38,5.34,92.4
Potato___Early_blight,23.89,84.4,5.47,97.64
Potato___Early_blight,23.61,81.93,5.28,67.44
Potato___Early_blight,24.01,90.73,4.98,89.93
Potato___Early_blight,26.51,82.03,5.34,70.76
Potato___Early_blight,28.44,85.13,5.59,92.39
Potato___Early_blight,23.57,83.32,5.51,88.9
Potato___Early_blight,24.67,89.18,5.13,100.24
Potato___Early_blight,26.42,88.97,5.52,101.78
Potato___Early_blight,24.86,86.51,5.7,81.18
Potato___Early_blight,25.65,91.87,5.69,83.67
Potato___Early_blight,30.73,87.23,4.81,84.44
Potato___Early_blight,24.16,88.98,5.51,76.97
Potato___Early_blight,25.52,94.8,5.11,89.73
Potato___Early_blight,28.09,88.0,5.75,67.51
Potato___Early_blight,28.11,88.5,5.61,77.3
Potato___Early_blight,23.6,80.88,5.84,79.22
Potato___Early_blight,27.55,92.67,5.59,72.05
Potato___Early_blight,25.42,83.86,5.08,77.58
Potato___Early_blight,23.22,88.91,5.64,75.35
Potato___Early_blight,25.56,82.53,5.22,78.95
Potato___Early_blight,21.24,87.35,5.99,80.91
Potato___Early_blight,25.59,82.0,5.67,93.81
Potato___Early_blight,24.99,84.18,5.93,81.0
Potato___Early_blight,25.57,90.46,5.01,71.35
Potato___Early_blight,24.38,89.7,6.08,69.65
Potato___Early_blight,25.61,89.5,5.34,65.47
Potato___Early_blight,28.48,86.86,5.4,95.52
Potato___Early_blight,26.14,89.71,5.84,80.5
Potato___Early_blight,26.13,83.74,5.78,76.88
Potato___Early_blight,26.49,90.11,6.31,65.58
Potato___Early_blight,28.7,88.67,6.26,74.16
Potato___Early_blight,24.81,95.29,5.72,89.02
Potato___Early_blight,26.65,84.15,5.58,72.77
Potato___Early_blight,28.95,91.56,6.13,86.01
Potato___Early_blight,27.04,93.89,5.96,68.27
Potato___Early_blight,24.42,84.11,5.63,59.12
Potato___Early_blight,26.63,88.3,5.6,88.9
Potato___Early_blight,25.53,95.95,5.98,71.92
Potato___Early_blight,26.31,81.11,5.39,96.3
Potato___Early_blight,26.42,91.84,5.58,68.41
Potato___Early_blight,26.1,90.2,5.49,61.88
Potato___Early_blight,25.07,87.65,5.7,87.19
Potato___Early_blight,29.88,96.7,5.52,85.94
Potato___Early_blight,30.34,81.87,5.56,53.61
Potato___Early_blight,25.35,86.9,5.48,75.31
Potato___Early_blight,25.09,98.18,5.81,82.76
Potato___Early_blight,26.99,90.33,5.85,89.04
Potato___Early_blight,30.04,92.89,5.26,77.73
