head,relation,tail
Early_Blight,treatedBy,Sanitation
Early_Blight,affectsPart,Leaf
Late_Blight,hasSymptom,Water_Soaked_Lesions
Late_Blight,hasSymptom,Dark_Margins
Late_Blight,hasSymptom,Vein_Yellowing
Late_Blight,hasSymptom,Leaf_Wilting
Late_Blight,treatedBy,Pruning
Late_Blight,treatedBy,Sanitation
Late_Blight,treatedBy,Remove_Infected_Plants
Late_Blight,affectsPart,Leaf
Powdery_Mildew,hasSymptom,Vein_Yellowing
Powdery_Mildew,hasSymptom,Mosaic_Patterns
Powdery_Mildew,hasSymptom,Curling_Leaves
Powdery_Mildew,hasSymptom,Stunted_Growth
Powdery_Mildew,treatedBy,Proper_Irrigation
Powdery_Mildew,treatedBy,Resistant_Variety
Powdery_Mildew,treatedBy,Crop_Rotation
Powdery_Mildew,affectsPart,Leaf
Leaf_Scorch,hasSymptom,Leaf_Scorch
Leaf_Scorch,hasSymptom,Necrotic_Tissue
Leaf_Scorch,hasSymptom,Yellowing_Leaves
Leaf_Scorch,hasSymptom,Brown_Leaf_Spots
Leaf_Scorch,treatedBy,Copper_Spray
Leaf_Scorch,treatedBy,Crop_Rotation
Leaf_Scorch,treatedBy,Pruning
Leaf_Scorch,affectsPart,Leaf
Bacterial_Spot,hasSymptom,Stunted_Growth
Bacterial_Spot,hasSymptom,Curling_Leaves
Bacterial_Spot,hasSymptom,Mosaic_Patterns
Bacterial_Spot,hasSymptom,Yellowing_Leaves
Bacterial_Spot,treatedBy,Soil_Solarization
Bacterial_Spot,treatedBy,Sanitation
Bacterial_Spot,treatedBy,Biological_Control
Bacterial_Spot,affectsPart,Leaf
Early_Blight,hasSymptom,Leaf_Scorch
Early_Blight,hasSymptom,Dark_Margins
Early_Blight,hasSymptom,Vein_Yellowing
Early_Blight,hasSymptom,Brown_Leaf_Spots
Early_Blight,treatedBy,Copper_Spray
Early_Blight,treatedBy,Pruning
Early_Blight,treatedBy,Remove_Infected_Plants
Early_Blight,affectsPart,Leaf
Late_Blight,hasSymptom,Stunted_Growth
Late_Blight,hasSymptom,White_Powdery_Growth
Late_Blight,hasSymptom,Yellowing_Leaves
Late_Blight,hasSymptom,Dark_Margins
Late_Blight,treatedBy,Soil_Solarization
Late_Blight,treatedBy,Crop_Rotation
Late_Blight,treatedBy,Biological_Control
Late_Blight,affectsPart,Leaf
Leaf_Mold,hasSymptom,Brown_Leaf_Spots
Leaf_Mold,hasSymptom,Dark_Margins
Leaf_Mold,hasSymptom,Leaf_Scorch
Leaf_Mold,hasSymptom,Water_Soaked_Lesions
Leaf_Mold,treatedBy,Pruning
Leaf_Mold,treatedBy,Copper_Spray
Leaf_Mold,treatedBy,Remove_Infected_Plants
Leaf_Mold,affectsPart,Leaf
Septoria_Leaf_Spot,hasSymptom,Stunted_Growth
Septoria_Leaf_Spot,hasSymptom,Leaf_Scorch
Septoria_Leaf_Spot,hasSymptom,Mosaic_Patterns
Septoria_Leaf_Spot,hasSymptom,Leaf_Wilting
Septoria_Leaf_Spot,treatedBy,Crop_Rotation
Septoria_Leaf_Spot,treatedBy,Proper_Irrigation
Septoria_Leaf_Spot,treatedBy,Sanitation
Septoria_Leaf_Spot,affectsPart,Leaf
Spider_Mites,hasSymptom,Leaf_Scorch
Spider_Mites,hasSymptom,Vein_Yellowing
Spider_Mites,hasSymptom,Brown_Leaf_Spots
Spider_Mites,hasSymptom,White_Powdery_Growth
Spider_Mites,treatedBy,Biological_Control
Spider_Mites,treatedBy,Fungicide
Spider_Mites,treatedBy,Copper_Spray
Spider_Mites,affectsPart,Leaf
Target_Spot,hasSymptom,White_Powdery_Growth
Target_Spot,hasSymptom,Dark_Margins
Target_Spot,hasSymptom,Leaf_Wilting
Target_Spot,hasSymptom,Brown_Leaf_Spots
Target_Spot,treatedBy,Resistant_Variety
Target_Spot,treatedBy,Copper_Spray
Target_Spot,treatedBy,Pruning
Target_Spot,affectsPart,Leaf
Tomato_Yellow_Leaf_Curl_Virus,hasSymptom,Vein_Yellowing
Tomato_Yellow_Leaf_Curl_Virus,hasSymptom,Necrotic_Tissue
Tomato_Yellow_Leaf_Curl_Virus,hasSymptom,Yellowing_Leaves
Tomato_Yellow_Leaf_Curl_Virus,hasSymptom,Leaf_Scorch
Tomato_Yellow_Leaf_Curl_Virus,treatedBy,Crop_Rotation
Tomato_Yellow_Leaf_Curl_Virus,treatedBy,Sanitation
Tomato_Yellow_Leaf_Curl_Virus,treatedBy,Biological_Control
Tomato_Yellow_Leaf_Curl_Virus,affectsPart,Leaf
Tomato_Mosaic_Virus,hasSymptom,Leaf_Scorch
Tomato_Mosaic_Virus,hasSymptom,Water_Soaked_Lesions
Tomato_Mosaic_Virus,hasSymptom,Dark_Margins
Tomato_Mosaic_Virus,hasSymptom,Vein_Yellowing
Tomato_Mosaic_Virus,treatedBy,Sanitation
Tomato_Mosaic_Virus,treatedBy,Soil_Solarization
Tomato_Mosaic_Virus,treatedBy,Resistant_Variety
Tomato_Mosaic_Virus,affectsPart,Leaf
Water_Soaked_Lesions,coOccursWith,Necrotic_Tissue
Dark_Margins,coOccursWith,Curling_Leaves
Curling_Leaves,coOccursWith,Necrotic_Tissue
Dark_Margins,coOccursWith,Mosaic_Patterns
Dark_Margins,coOccursWith,Leaf_Scorch
Water_Soaked_Lesions,coOccursWith,White_Powdery_Growth
Water_Soaked_Lesions,coOccursWith,Stunted_Growth
Necrotic_Tissue,coOccursWith,Mosaic_Patterns
Leaf_Wilting,coOccursWith,Necrotic_Tissue
Necrotic_Tissue,coOccursWith,Vein_Yellowing
Brown_Leaf_Spots,coOccursWith,Leaf_Scorch
Yellowing_Leaves,coOccursWith,Curling_Leaves
Yellowing_Leaves,coOccursWith,White_Powdery_Growth
Brown_Leaf_Spots,coOccursWith,White_Powdery_Growth
Water_Soaked_Lesions,coOccursWith,Leaf_Wilting
Brown_Leaf_Spots,coOccursWith,Water_Soaked_Lesions
Leaf_Wilting,coOccursWith,Vein_Yellowing
Leaf_Wilting,coOccursWith,Mosaic_Patterns
Curling_Leaves,coOccursWith,Mosaic_Patterns
White_Powdery_Growth,coOccursWith,Stunted_Growth
White_Powdery_Growth,coOccursWith,Leaf_Scorch
Brown_Leaf_Spots,coOccursWith,Yellowing_Leaves
Curling_Leaves,coOccursWith,Leaf_Scorch
Dark_Margins,coOccursWith,Necrotic_Tissue
Brown_Leaf_Spots,coOccursWith,Dark_Margins
White_Powdery_Growth,coOccursWith,Curling_Leaves
Dark_Margins,coOccursWith,Stunted_Growth
Brown_Leaf_Spots,coOccursWith,Leaf_Wilting
Mosaic_Patterns,coOccursWith,Stunted_Growth
Mosaic_Patterns,coOccursWith,Vein_Yellowing
Leaf_Wilting,coOccursWith,Curling_Leaves
Curling_Leaves,coOccursWith,Stunted_Growth
Yellowing_Leaves,coOccursWith,Leaf_Scorch
Leaf_Wilting,coOccursWith,White_Powdery_Growth
Yellowing_Leaves,coOccursWith,Dark_Margins
Necrotic_Tissue,coOccursWith,Stunted_Growth
Leaf_Wilting,coOccursWith,Stunted_Growth
Leaf_Scorch,coOccursWith,Mosaic_Patterns
Yellowing_Leaves,coOccursWith,Mosaic_Patterns
Water_Soaked_Lesions,coOccursWith,Mosaic_Patterns
Apple_Scab,similarTo,Black_Rot
Apple_Scab,similarTo,Cedar_Apple_Rust
Apple_Scab,similarTo,Common_Rust
Apple_Scab,similarTo,Northern_Leaf_Blight
Apple_Scab,similarTo,Black_Rot
Apple_Scab,similarTo,Esca
Apple_Scab,similarTo,Citrus_Greening
Apple_Scab,similarTo,Bacterial_Spot
Apple_Scab,similarTo,Bacterial_Spot
Apple_Scab,similarTo,Early_Blight
Apple_Scab,similarTo,Late_Blight
Apple_Scab,similarTo,Leaf_Scorch
Apple_Scab,similarTo,Bacterial_Spot
Apple_Scab,similarTo,Early_Blight
Apple_Scab,similarTo,Late_Blight
Apple_Scab,similarTo,Leaf_Mold
Apple_Scab,similarTo,Target_Spot
Black_Rot,similarTo,Powdery_Mildew
Black_Rot,similarTo,Common_Rust
Black_Rot,similarTo,Black_Rot
Black_Rot,similarTo,Esca
Black_Rot,similarTo,Leaf_Blight
Black_Rot,similarTo,Citrus_Greening
Black_Rot,similarTo,Bacterial_Spot
Black_Rot,similarTo,Bacterial_Spot
Black_Rot,similarTo,Early_Blight
Black_Rot,similarTo,Late_Blight
Black_Rot,similarTo,Powdery_Mildew
Black_Rot,similarTo,Leaf_Scorch
Black_Rot,similarTo,Bacterial_Spot
Black_Rot,similarTo,Early_Blight
Black_Rot,similarTo,Late_Blight
Black_Rot,similarTo,Leaf_Mold
Black_Rot,similarTo,Septoria_Leaf_Spot
Black_Rot,similarTo,Spider_Mites
Black_Rot,similarTo,Target_Spot
Black_Rot,similarTo,Tomato_Yellow_Leaf_Curl_Virus
Black_Rot,similarTo,Tomato_Mosaic_Virus
Cedar_Apple_Rust,similarTo,Northern_Leaf_Blight
Cedar_Apple_Rust,similarTo,Esca
Cedar_Apple_Rust,similarTo,Citrus_Greening
Cedar_Apple_Rust,similarTo,Bacterial_Spot
Cedar_Apple_Rust,similarTo,Bacterial_Spot
Cedar_Apple_Rust,similarTo,Early_Blight
Cedar_Apple_Rust,similarTo,Late_Blight
Cedar_Apple_Rust,similarTo,Leaf_Scorch
Cedar_Apple_Rust,similarTo,Bacterial_Spot
Cedar_Apple_Rust,similarTo,Early_Blight
Cedar_Apple_Rust,similarTo,Late_Blight
Cedar_Apple_Rust,similarTo,Septoria_Leaf_Spot
Cedar_Apple_Rust,similarTo,Target_Spot
Powdery_Mildew,similarTo,Common_Rust
Powdery_Mildew,similarTo,Black_Rot
Powdery_Mildew,similarTo,Bacterial_Spot
Powdery_Mildew,similarTo,Bacterial_Spot
Powdery_Mildew,similarTo,Early_Blight
Powdery_Mildew,similarTo,Late_Blight
Powdery_Mildew,similarTo,Powdery_Mildew
Powdery_Mildew,similarTo,Bacterial_Spot
Powdery_Mildew,similarTo,Early_Blight
Powdery_Mildew,similarTo,Late_Blight
Powdery_Mildew,similarTo,Septoria_Leaf_Spot
Powdery_Mildew,similarTo,Spider_Mites
Powdery_Mildew,similarTo,Tomato_Yellow_Leaf_Curl_Virus
Powdery_Mildew,similarTo,Tomato_Mosaic_Virus
Gray_Leaf_Spot,similarTo,Common_Rust
Gray_Leaf_Spot,similarTo,Leaf_Blight
Gray_Leaf_Spot,similarTo,Bacterial_Spot
Gray_Leaf_Spot,similarTo,Bacterial_Spot
Gray_Leaf_Spot,similarTo,Early_Blight
Gray_Leaf_Spot,similarTo,Late_Blight
Gray_Leaf_Spot,similarTo,Bacterial_Spot
Gray_Leaf_Spot,similarTo,Early_Blight
Gray_Leaf_Spot,similarTo,Late_Blight
Gray_Leaf_Spot,similarTo,Leaf_Mold
Gray_Leaf_Spot,similarTo,Spider_Mites
Gray_Leaf_Spot,similarTo,Target_Spot
Common_Rust,similarTo,Black_Rot
Common_Rust,similarTo,Leaf_Blight
Common_Rust,similarTo,Citrus_Greening
Common_Rust,similarTo,Bacterial_Spot
Common_Rust,similarTo,Bacterial_Spot
Common_Rust,similarTo,Late_Blight
Common_Rust,similarTo,Powdery_Mildew
Common_Rust,similarTo,Bacterial_Spot
Common_Rust,similarTo,Late_Blight
Northern_Leaf_Blight,similarTo,Esca
Northern_Leaf_Blight,similarTo,Leaf_Blight
Northern_Leaf_Blight,similarTo,Bacterial_Spot
Northern_Leaf_Blight,similarTo,Bacterial_Spot
Northern_Leaf_Blight,similarTo,Early_Blight
Northern_Leaf_Blight,similarTo,Leaf_Scorch
Northern_Leaf_Blight,similarTo,Bacterial_Spot
Northern_Leaf_Blight,similarTo,Early_Blight
Northern_Leaf_Blight,similarTo,Leaf_Mold
Northern_Leaf_Blight,similarTo,Target_Spot
Black_Rot,similarTo,Esca
Black_Rot,similarTo,Leaf_Blight
Black_Rot,similarTo,Citrus_Greening
Black_Rot,similarTo,Bacterial_Spot
Black_Rot,similarTo,Bacterial_Spot
Black_Rot,similarTo,Early_Blight
Black_Rot,similarTo,Late_Blight
Black_Rot,similarTo,Powdery_Mildew
Black_Rot,similarTo,Leaf_Scorch
Black_Rot,similarTo,Bacterial_Spot
Black_Rot,similarTo,Early_Blight
Black_Rot,similarTo,Late_Blight
Black_Rot,similarTo,Leaf_Mold
Black_Rot,similarTo,Septoria_Leaf_Spot
Black_Rot,similarTo,Spider_Mites
Black_Rot,similarTo,Target_Spot
Black_Rot,similarTo,Tomato_Yellow_Leaf_Curl_Virus
Black_Rot,similarTo,Tomato_Mosaic_Virus
Esca,similarTo,Citrus_Greening
Esca,similarTo,Bacterial_Spot
Esca,similarTo,Bacterial_Spot
Esca,similarTo,Early_Blight
Esca,similarTo,Late_Blight
Esca,similarTo,Bacterial_Spot
Esca,similarTo,Early_Blight
Esca,similarTo,Late_Blight
Esca,similarTo,Leaf_Mold
Esca,similarTo,Septoria_Leaf_Spot
Esca,similarTo,Target_Spot
Leaf_Blight,similarTo,Bacterial_Spot
Leaf_Blight,similarTo,Bacterial_Spot
Leaf_Blight,similarTo,Early_Blight
Leaf_Blight,similarTo,Late_Blight
Leaf_Blight,similarTo,Bacterial_Spot
Leaf_Blight,similarTo,Early_Blight
Leaf_Blight,similarTo,Late_Blight
Leaf_Blight,similarTo,Target_Spot
Citrus_Greening,similarTo,Bacterial_Spot
Citrus_Greening,similarTo,Bacterial_Spot
Citrus_Greening,similarTo,Early_Blight
Citrus_Greening,similarTo,Late_Blight
Citrus_Greening,similarTo,Bacterial_Spot
Citrus_Greening,similarTo,Early_Blight
Citrus_Greening,similarTo,Late_Blight
Citrus_Greening,similarTo,Septoria_Leaf_Spot
Citrus_Greening,similarTo,Target_Spot
Bacterial_Spot,similarTo,Bacterial_Spot
Bacterial_Spot,similarTo,Early_Blight
Bacterial_Spot,similarTo,Late_Blight
Bacterial_Spot,similarTo,Powdery_Mildew
Bacterial_Spot,similarTo,Leaf_Scorch
Bacterial_Spot,similarTo,Bacterial_Spot
Bacterial_Spot,similarTo,Early_Blight
Bacterial_Spot,similarTo,Late_Blight
Bacterial_Spot,similarTo,Leaf_Mold
Bacterial_Spot,similarTo,Septoria_Leaf_Spot
Bacterial_Spot,similarTo,Spider_Mites
Bacterial_Spot,similarTo,Target_Spot
Bacterial_Spot,similarTo,Tomato_Yellow_Leaf_Curl_Virus
Bacterial_Spot,similarTo,Tomato_Mosaic_Virus
Bacterial_Spot,similarTo,Early_Blight
Bacterial_Spot,similarTo,Late_Blight
Bacterial_Spot,similarTo,Powdery_Mildew
Bacterial_Spot,similarTo,Leaf_Scorch
Bacterial_Spot,similarTo,Bacterial_Spot
Bacterial_Spot,similarTo,Early_Blight
Bacterial_Spot,similarTo,Late_Blight
Bacterial_Spot,similarTo,Leaf_Mold
Bacterial_Spot,similarTo,Septoria_Leaf_Spot
Bacterial_Spot,similarTo,Spider_Mites
Bacterial_Spot,similarTo,Target_Spot
Bacterial_Spot,similarTo,Tomato_Yellow_Leaf_Curl_Virus
Bacterial_Spot,similarTo,Tomato_Mosaic_Virus
Early_Blight,similarTo,Late_Blight
Early_Blight,similarTo,Powdery_Mildew
Early_Blight,similarTo,Leaf_Scorch
Early_Blight,similarTo,Bacterial_Spot
Early_Blight,similarTo,Early_Blight
Early_Blight,similarTo,Late_Blight
Early_Blight,similarTo,Leaf_Mold
Early_Blight,similarTo,Septoria_Leaf_Spot
Early_Blight,similarTo,Spider_Mites
Early_Blight,similarTo,Target_Spot
Early_Blight,similarTo,Tomato_Yellow_Leaf_Curl_Virus
Early_Blight,similarTo,Tomato_Mosaic_Virus
Late_Blight,similarTo,Powdery_Mildew
Late_Blight,similarTo,Bacterial_Spot
Late_Blight,similarTo,Early_Blight
Late_Blight,similarTo,Late_Blight
Late_Blight,similarTo,Leaf_Mold
Late_Blight,similarTo,Septoria_Leaf_Spot
Late_Blight,similarTo,Spider_Mites
Late_Blight,similarTo,Target_Spot
Late_Blight,similarTo,Tomato_Yellow_Leaf_Curl_Virus
Late_Blight,similarTo,Tomato_Mosaic_Virus
Powdery_Mildew,similarTo,Bacterial_Spot
Powdery_Mildew,similarTo,Early_Blight
Powdery_Mildew,similarTo,Late_Blight
Powdery_Mildew,similarTo,Septoria_Leaf_Spot
Powdery_Mildew,similarTo,Spider_Mites
Powdery_Mildew,similarTo,Tomato_Yellow_Leaf_Curl_Virus
Powdery_Mildew,similarTo,Tomato_Mosaic_Virus
Leaf_Scorch,similarTo,Bacterial_Spot
Leaf_Scorch,similarTo,Early_Blight
Leaf_Scorch,similarTo,Leaf_Mold
Leaf_Scorch,similarTo,Spider_Mites
Leaf_Scorch,similarTo,Tomato_Yellow_Leaf_Curl_Virus
Bacterial_Spot,similarTo,Early_Blight
Bacterial_Spot,similarTo,Late_Blight
Bacterial_Spot,similarTo,Leaf_Mold
Bacterial_Spot,similarTo,Septoria_Leaf_Spot
Bacterial_Spot,similarTo,Spider_Mites
Bacterial_Spot,similarTo,Target_Spot
Bacterial_Spot,similarTo,Tomato_Yellow_Leaf_Curl_Virus
Bacterial_Spot,similarTo,Tomato_Mosaic_Virus
Early_Blight,similarTo,Late_Blight
Early_Blight,similarTo,Leaf_Mold
Early_Blight,similarTo,Septoria_Leaf_Spot
Early_Blight,similarTo,Spider_Mites
Early_Blight,similarTo,Target_Spot
Early_Blight,similarTo,Tomato_Yellow_Leaf_Curl_Virus
Early_Blight,similarTo,Tomato_Mosaic_Virus
Late_Blight,similarTo,Leaf_Mold
Late_Blight,similarTo,Septoria_Leaf_Spot
Late_Blight,similarTo,Spider_Mites
Late_Blight,similarTo,Target_Spot
Late_Blight,similarTo,Tomato_Yellow_Leaf_Curl_Virus
Late_Blight,similarTo,Tomato_Mosaic_Virus
Leaf_Mold,similarTo,Spider_Mites
Leaf_Mold,similarTo,Target_Spot
Leaf_Mold,similarTo,Tomato_Mosaic_Virus
Spider_Mites,similarTo,Target_Spot
Spider_Mites,similarTo,Tomato_Yellow_Leaf_Curl_Virus
Spider_Mites,similarTo,Tomato_Mosaic_Virus
Tomato_Yellow_Leaf_Curl_Virus,similarTo,Tomato_Mosaic_Virus
Fungicide,applicableTo,Powdery_Mildew
Fungicide,applicableTo,Black_Rot
Fungicide,applicableTo,Tomato_Mosaic_Virus
Fungicide,applicableTo,Early_Blight
Copper_Spray,applicableTo,Northern_Leaf_Blight
Copper_Spray,applicableTo,Powdery_Mildew
Copper_Spray,applicableTo,Septoria_Leaf_Spot
Copper_Spray,applicableTo,Early_Blight
Crop_Rotation,applicableTo,Bacterial_Spot
Crop_Rotation,applicableTo,Early_Blight
Crop_Rotation,applicableTo,Late_Blight
Crop_Rotation,applicableTo,Target_Spot
Resistant_Variety,applicableTo,Black_Rot
Resistant_Variety,applicableTo,Septoria_Leaf_Spot
Resistant_Variety,applicableTo,Leaf_Mold
Resistant_Variety,applicableTo,Powdery_Mildew
Remove_Infected_Plants,applicableTo,Black_Rot
Remove_Infected_Plants,applicableTo,Bacterial_Spot
Remove_Infected_Plants,applicableTo,Target_Spot
Remove_Infected_Plants,applicableTo,Citrus_Greening
Proper_Irrigation,applicableTo,Tomato_Mosaic_Virus
Proper_Irrigation,applicableTo,Powdery_Mildew
Proper_Irrigation,applicableTo,Black_Rot
Proper_Irrigation,applicableTo,Northern_Leaf_Blight
Soil_Solarization,applicableTo,Northern_Leaf_Blight
Soil_Solarization,applicableTo,Bacterial_Spot
Soil_Solarization,applicableTo,Late_Blight
Soil_Solarization,applicableTo,Gray_Leaf_Spot
Biological_Control,applicableTo,Early_Blight
Biological_Control,applicableTo,Common_Rust
Biological_Control,applicableTo,Esca
Biological_Control,applicableTo,Late_Blight
Pruning,applicableTo,Black_Rot
Pruning,applicableTo,Cedar_Apple_Rust
Pruning,applicableTo,Late_Blight
Pruning,applicableTo,Tomato_Mosaic_Virus
Sanitation,applicableTo,Bacterial_Spot
Sanitation,applicableTo,Powdery_Mildew
Sanitation,applicableTo,Black_Rot
Sanitation,applicableTo,Leaf_Mold
Apple,showsSymptom,Stunted_Growth
Apple,showsSymptom,Yellowing_Leaves
Apple,showsSymptom,Brown_Leaf_Spots
Apple,showsSymptom,Dark_Margins
Apple,showsSymptom,Vein_Yellowing
Apple,showsSymptom,Leaf_Scorch
Apple,showsSymptom,White_Powdery_Growth
Apple,showsSymptom,Leaf_Wilting
Apple,showsSymptom,Mosaic_Patterns
Cherry,showsSymptom,Vein_Yellowing
Cherry,showsSymptom,Stunted_Growth
Cherry,showsSymptom,Leaf_Scorch
Cherry,showsSymptom,Curling_Leaves
Cherry,showsSymptom,Mosaic_Patterns
Corn,showsSymptom,Brown_Leaf_Spots
Corn,showsSymptom,Water_Soaked_Lesions
Corn,showsSymptom,Curling_Leaves
Corn,showsSymptom,White_Powdery_Growth
Corn,showsSymptom,Yellowing_Leaves
Corn,showsSymptom,Stunted_Growth
Corn,showsSymptom,Mosaic_Patterns
Corn,showsSymptom,Dark_Margins
Corn,showsSymptom,Necrotic_Tissue
Grape,showsSymptom,Vein_Yellowing
Grape,showsSymptom,Yellowing_Leaves
Grape,showsSymptom,Leaf_Scorch
Grape,showsSymptom,Stunted_Growth
Grape,showsSymptom,Dark_Margins
Grape,showsSymptom,White_Powdery_Growth
Grape,showsSymptom,Brown_Leaf_Spots
Grape,showsSymptom,Leaf_Wilting
Grape,showsSymptom,Curling_Leaves
Grape,showsSymptom,Necrotic_Tissue
